Date;Numéro 1;Numéro 2;Numéro 3;Numéro 4;Numéro 5;Numéro 6;Signe astrologique
2020-11-07;3;8;7;3;1;9;Vierge
2020-11-06;1;0;2;7;8;9;Gémeaux
2020-11-05;9;3;6;8;5;4;Vierge
2020-11-04;7;3;7;6;8;0;Lion
2020-11-03;8;0;3;2;3;4;Gémeaux
2020-11-02;9;7;8;8;6;5;Bélier
2020-11-01;5;5;7;0;9;8;Capricorne
2020-10-31;7;2;3;1;6;9;Poissons
2020-10-30;8;3;2;8;9;1;Lion
2020-10-29;3;8;2;4;1;8;Bélier
2020-10-28;4;9;3;8;5;2;Balance
2020-10-27;4;3;4;1;1;8;Lion
2020-10-26;0;0;8;4;9;3;Cancer
2020-10-25;2;6;2;7;8;0;Cancer
2020-10-24;3;1;6;2;9;0;Bélier
2020-10-23;6;9;1;6;5;1;Vierge
2020-10-22;7;7;4;5;3;7;Verseau
2020-10-21;1;5;6;4;2;9;Bélier
2020-10-20;2;0;7;3;4;4;Bélier
2020-10-19;7;2;9;3;4;7;Scorpion
2020-10-18;4;8;4;3;9;9;Poissons
2020-10-17;4;5;1;7;5;1;Vierge
2020-10-16;2;8;0;6;5;2;Balance
2020-10-15;6;8;3;9;9;4;Verseau
2020-10-14;4;3;8;3;9;4;Cancer
2020-10-13;1;5;7;3;9;9;Poissons
2020-10-12;9;9;2;8;8;6;Vierge
2020-10-11;5;1;4;4;7;8;Taureau
2020-10-10;4;0;9;4;2;4;Vierge
2020-10-09;2;8;4;1;0;5;Balance
2020-10-08;5;0;0;7;6;5;Sagittaire
2020-10-07;6;7;4;5;3;2;Scorpion
2020-10-06;1;3;1;4;6;5;Lion
2020-10-05;4;9;2;4;0;2;Capricorne
2020-10-04;9;5;1;5;6;1;Sagittaire
2020-10-03;7;6;0;8;3;3;Gémeaux
2020-10-02;9;5;1;5;5;9;Scorpion
2020-10-01;4;0;0;5;3;2;Scorpion
2020-09-30;5;8;6;9;4;8;Sagittaire
2020-09-29;6;7;2;5;1;7;Balance
2020-09-28;8;5;0;1;5;9;Vierge
2020-09-27;4;1;2;4;4;2;Balance
2020-09-26;5;7;8;5;5;1;Balance
2020-09-25;7;7;9;4;2;0;Balance
2020-09-24;6;8;0;5;7;7;Vierge
2020-09-23;2;9;1;9;0;9;Lion
2020-09-22;5;6;2;5;6;7;Gémeaux
2020-09-21;3;0;5;6;0;2;Verseau
2020-09-20;4;9;0;9;5;6;Verseau
2020-09-19;1;3;3;6;5;6;Capricorne
2020-09-18;9;1;7;0;6;5;Bélier
2020-09-17;7;3;2;4;6;6;Gémeaux
2020-09-16;1;6;8;8;5;7;Balance
2020-09-15;4;8;2;0;0;8;Sagittaire
2020-09-14;1;4;0;7;0;0;Sagittaire
2020-09-13;3;9;3;6;1;9;Lion
2020-09-12;3;1;6;7;8;6;Verseau
2020-09-11;6;4;1;8;5;3;Scorpion
2020-09-10;6;3;9;6;3;4;Vierge
2020-09-09;3;1;6;2;0;5;Lion
2020-09-08;0;9;2;5;0;2;Gémeaux
2020-09-07;3;9;5;3;6;3;Vierge
2020-09-06;4;0;0;0;8;4;Gémeaux
2020-09-05;3;6;1;4;5;4;Capricorne
2020-09-04;4;4;7;3;0;4;Sagittaire
2020-09-03;1;9;5;4;3;2;Taureau
2020-09-02;5;8;7;9;9;9;Balance
2020-09-01;5;0;9;4;6;0;Taureau
2020-08-31;4;1;5;2;2;2;Taureau
2020-08-30;7;9;3;1;0;4;Vierge
2020-08-29;7;2;6;3;9;7;Lion
2020-08-28;0;3;6;6;5;6;Scorpion
2020-08-27;6;5;3;4;9;8;Lion
2020-08-26;6;1;3;1;5;5;Vierge
2020-08-25;5;7;7;1;5;2;Balance
2020-08-24;8;3;9;8;2;7;Balance
2020-08-23;4;5;1;9;7;1;Cancer
2020-08-22;5;8;8;7;4;9;Capricorne
2020-08-21;7;1;2;9;7;2;Lion
2020-08-20;9;9;6;0;7;5;Balance
2020-08-19;7;4;9;5;0;5;Bélier
2020-08-18;1;6;9;1;9;2;Balance
2020-08-17;1;2;1;6;2;0;Bélier
2020-08-16;1;0;8;3;2;8;Sagittaire
2020-08-15;3;6;5;5;0;9;Cancer
2020-08-14;7;0;6;1;0;0;Bélier
2020-08-13;3;8;5;4;5;2;Bélier
2020-08-12;1;7;6;4;5;6;Cancer
2020-08-11;4;6;9;7;5;0;Poissons
2020-08-10;9;4;8;8;1;4;Cancer
2020-08-09;5;3;6;4;8;7;Balance
2020-08-08;0;7;6;0;4;8;Sagittaire
2020-08-07;8;1;1;7;3;2;Bélier
2020-08-06;9;6;8;4;7;2;Scorpion
2020-08-05;3;6;6;1;9;8;Bélier
2020-08-04;5;2;0;0;8;7;Bélier
2020-08-03;9;2;9;5;5;0;Vierge
2020-08-02;4;3;8;9;1;5;Taureau
2020-08-01;1;2;7;9;5;7;Scorpion
2020-07-31;5;2;6;7;5;9;Cancer
2020-07-30;5;8;3;7;9;3;Cancer
2020-07-29;7;2;5;5;4;4;Cancer
2020-07-28;6;3;6;3;3;4;Cancer
2020-07-27;8;8;6;9;6;1;Vierge
2020-07-26;1;9;0;8;0;8;Bélier
2020-07-25;9;7;9;6;7;3;Scorpion
2020-07-24;3;1;1;7;4;2;Gémeaux
2020-07-23;3;6;2;6;2;0;Verseau
2020-07-22;9;0;8;0;9;2;Lion
2020-07-21;0;2;3;8;0;9;Verseau
2020-07-20;7;9;7;2;4;2;Balance
2020-07-19;0;6;8;5;3;6;Taureau
2020-07-18;9;0;1;0;8;9;Poissons
2020-07-17;6;3;0;9;2;5;Cancer
2020-07-16;3;6;9;5;1;7;Verseau
2020-07-15;2;7;7;5;8;4;Lion
2020-07-14;6;4;0;6;3;4;Poissons
2020-07-13;7;3;8;0;9;0;Sagittaire
2020-07-12;2;9;5;2;2;7;Lion
2020-07-11;8;0;9;0;7;6;Cancer
2020-07-10;2;3;3;2;4;9;Balance
2020-07-09;8;5;0;7;5;4;Sagittaire
2020-07-08;1;9;5;8;0;8;Sagittaire
2020-07-07;2;1;7;4;5;5;Vierge
2020-07-06;8;7;8;2;8;0;Vierge
2020-07-05;1;4;6;5;0;1;Balance
2020-07-04;9;4;6;9;0;8;Verseau
2020-07-03;6;9;6;4;4;6;Verseau
2020-07-02;8;5;6;0;0;2;Gémeaux
2020-07-01;6;5;5;1;3;4;Balance
2020-06-30;7;5;2;5;4;9;Bélier
2020-06-29;8;7;0;8;7;8;Poissons
2020-06-28;2;1;5;7;1;1;Bélier
2020-06-27;2;7;9;4;6;9;Vierge
2020-06-26;5;9;2;4;4;4;Lion
2020-06-25;5;4;7;0;3;6;Taureau
2020-06-24;8;2;5;9;1;8;Vierge
2020-06-23;6;8;5;9;2;6;Lion
2020-06-22;1;2;7;3;2;8;Sagittaire
2020-06-21;1;4;6;0;0;5;Cancer
2020-06-20;4;1;5;3;0;6;Verseau
2020-06-19;1;4;5;4;4;8;Sagittaire
2020-06-18;3;1;7;6;3;5;Sagittaire
2020-06-17;0;6;1;3;2;4;Gémeaux
2020-06-16;5;4;7;6;6;7;Poissons
2020-06-15;3;5;3;5;6;5;Poissons
2020-06-14;2;9;4;7;5;4;Lion
2020-06-13;6;2;9;1;6;3;Capricorne
2020-06-12;7;1;4;1;4;1;Balance
2020-06-11;8;6;4;5;2;5;Bélier
2020-06-10;8;1;0;5;5;5;Vierge
2020-06-09;6;0;5;8;5;8;Vierge
2020-06-08;1;4;8;2;6;8;Gémeaux
2020-06-07;3;7;1;2;3;4;Taureau
2020-06-06;2;2;5;8;1;1;Taureau
2020-06-05;6;1;0;0;4;6;Balance
2020-06-04;1;3;0;0;6;7;Bélier
2020-06-03;3;6;6;9;0;0;Poissons
2020-06-02;1;6;4;4;0;1;Capricorne
2020-06-01;5;9;4;5;5;5;Verseau
2020-05-31;8;4;6;9;4;0;Scorpion
2020-05-30;7;3;3;5;6;2;Vierge
2020-05-29;9;8;9;6;5;5;Poissons
2020-05-28;5;8;8;7;7;2;Sagittaire
2020-05-27;7;9;6;5;0;5;Balance
2020-05-26;7;5;1;8;2;0;Scorpion
2020-05-25;9;8;2;4;5;8;Lion
2020-05-24;7;9;5;5;1;1;Cancer
2020-05-23;6;2;0;3;2;7;Poissons
2020-05-22;8;1;3;1;6;9;Sagittaire
2020-05-21;3;4;5;7;9;2;Poissons
2020-05-20;3;4;9;0;0;5;Cancer
2020-05-19;7;1;6;5;1;9;Cancer
2020-05-18;2;6;0;2;9;3;Taureau
2020-05-17;9;0;0;4;2;7;Gémeaux
2020-05-16;9;6;4;2;8;5;Gémeaux
2020-05-15;7;0;0;6;4;9;Gémeaux
2020-05-14;3;3;3;5;5;3;Vierge
2020-05-13;8;5;8;8;9;8;Balance
2020-05-12;5;3;1;8;9;6;Capricorne
2020-05-11;1;8;1;7;2;9;Gémeaux
2020-05-10;9;1;9;6;6;5;Sagittaire
2020-05-09;1;7;0;5;4;8;Taureau
2020-05-08;6;7;0;8;8;2;Taureau
2020-05-07;1;2;8;1;9;9;Verseau
2020-05-06;6;4;8;1;7;8;Balance
2020-05-05;2;2;0;3;5;7;Bélier
2020-05-04;8;9;9;1;6;8;Sagittaire
2020-05-03;4;1;5;5;8;0;Taureau
2020-05-02;0;7;7;8;3;7;Gémeaux
2020-05-01;2;4;6;1;3;7;Lion
2020-04-30;6;0;2;1;2;5;Gémeaux
2020-04-29;2;3;1;6;0;9;Balance
2020-04-28;3;9;6;0;7;9;Vierge
2020-04-27;2;3;1;9;5;0;Gémeaux
2020-04-26;2;5;6;7;0;3;Capricorne
2020-04-25;6;3;1;8;1;5;Bélier
2020-04-24;3;0;7;3;1;6;Bélier
2020-04-23;0;5;6;9;5;3;Balance
2020-04-22;9;7;4;1;5;8;Capricorne
2020-04-21;6;5;6;8;5;0;Sagittaire
2020-04-20;6;6;4;0;8;6;Verseau
2020-04-19;6;5;3;7;9;3;Poissons
2020-04-18;3;6;7;8;6;7;Taureau
2020-04-17;8;3;5;1;8;9;Cancer
2020-04-16;7;9;7;4;1;0;Gémeaux
2020-04-15;6;1;7;7;1;6;Sagittaire
2020-04-14;8;0;1;4;8;0;Vierge
2020-04-13;2;5;1;3;0;2;Balance
2020-04-12;5;5;9;3;2;3;Gémeaux
2020-04-11;6;5;2;5;8;5;Gémeaux
2020-04-10;5;8;7;7;6;7;Vierge
2020-04-09;8;6;7;3;8;7;Gémeaux
2020-04-08;9;5;1;1;1;3;Balance
2020-04-07;2;1;5;5;7;5;Capricorne
2020-04-06;8;8;4;3;2;5;Cancer
2020-04-05;8;2;6;9;9;8;Lion
2020-04-04;3;8;5;5;7;8;Taureau
2020-04-03;7;3;4;8;9;2;Cancer
2020-04-02;6;7;1;9;2;4;Scorpion
2020-04-01;4;8;8;0;2;5;Sagittaire
2020-03-31;2;7;0;9;0;3;Sagittaire
2020-03-30;8;5;9;7;9;4;Capricorne
2020-03-29;0;3;3;1;0;1;Scorpion
2020-03-28;5;2;5;8;8;5;Lion
2020-03-27;8;8;7;0;4;0;Scorpion
2020-03-26;4;3;9;0;9;5;Taureau
2020-03-25;9;9;1;5;8;3;Bélier
2020-03-24;7;0;1;9;2;6;Vierge
2020-03-23;6;4;8;3;7;5;Balance
2020-03-22;5;3;6;6;1;6;Taureau
2020-03-21;0;1;2;9;3;3;Scorpion
2020-03-20;8;4;6;3;0;4;Bélier
2020-03-19;1;8;8;6;3;5;Verseau
2020-03-18;9;9;1;9;9;4;Verseau
2020-03-17;3;0;0;2;5;3;Capricorne
2020-03-16;8;4;8;2;5;5;Verseau
2020-03-15;7;9;1;4;7;3;Cancer
2020-03-14;0;1;3;4;3;0;Taureau
2020-03-13;7;7;9;7;1;3;Gémeaux
2020-03-12;5;7;3;7;9;3;Scorpion
2020-03-11;6;3;7;5;1;8;Cancer
2020-03-10;0;6;3;9;1;8;Bélier
2020-03-09;9;2;2;9;6;7;Poissons
2020-03-08;8;2;2;8;4;2;Lion
2020-03-07;4;0;0;7;2;4;Poissons
2020-03-06;9;4;6;5;6;2;Vierge
2020-03-05;6;2;6;5;1;9;Taureau
2020-03-04;8;1;7;3;1;8;Balance
2020-03-03;2;5;4;1;7;4;Scorpion
2020-03-02;4;7;6;2;3;8;Cancer
2020-03-01;6;0;3;3;8;1;Verseau
2020-02-29;2;3;3;1;8;8;Vierge
2020-02-28;0;7;5;6;9;7;Scorpion
2020-02-27;0;5;3;9;5;6;Taureau
2020-02-26;5;3;5;8;9;7;Gémeaux
2020-02-25;4;5;2;8;0;6;Taureau
2020-02-24;0;9;2;6;5;0;Taureau
2020-02-23;7;4;8;9;2;7;Capricorne
2020-02-22;7;6;8;8;6;7;Bélier
2020-02-21;4;9;3;7;2;3;Sagittaire
2020-02-20;3;1;7;0;8;0;Taureau
2020-02-19;3;5;8;4;2;8;Balance
2020-02-18;7;3;2;4;1;3;Sagittaire
2020-02-17;5;1;3;6;9;2;Balance
2020-02-16;8;0;0;6;2;6;Vierge
2020-02-15;3;2;7;2;0;6;Bélier
2020-02-14;8;3;3;7;5;8;Bélier
2020-02-13;8;3;0;2;7;6;Balance
2020-02-12;2;4;0;2;6;9;Balance
2020-02-11;5;2;4;8;7;4;Taureau
2020-02-10;8;6;5;0;0;1;Bélier
2020-02-09;6;5;3;4;2;8;Lion
2020-02-08;0;2;2;1;2;4;Gémeaux
2020-02-07;2;0;5;3;1;3;Capricorne
2020-02-06;9;2;2;5;6;3;Poissons
2020-02-05;6;2;6;0;2;1;Lion
2020-02-04;5;1;6;9;0;1;Balance
2020-02-03;4;3;1;6;6;0;Verseau
2020-02-02;1;5;8;9;0;5;Vierge
2020-02-01;0;3;8;0;2;2;Capricorne
2020-01-31;2;2;1;4;0;6;Taureau
2020-01-30;9;1;1;5;0;6;Taureau
2020-01-29;4;5;0;1;2;4;Scorpion
2020-01-28;2;2;8;4;6;0;Poissons
2020-01-27;4;5;7;8;7;4;Capricorne
2020-01-26;2;7;3;3;0;2;Capricorne
2020-01-25;4;0;3;5;8;1;Scorpion
2020-01-24;9;4;2;0;1;0;Cancer
2020-01-23;2;7;9;2;3;5;Taureau
2020-01-22;5;1;5;8;2;7;Capricorne
2020-01-21;1;6;7;0;4;3;Gémeaux
2020-01-20;0;1;3;6;3;4;Scorpion
2020-01-19;5;5;5;5;1;8;Sagittaire
2020-01-18;8;9;6;8;2;0;Cancer
2020-01-17;3;3;1;3;3;4;Verseau
2020-01-16;3;1;9;3;7;9;Capricorne
2020-01-15;0;3;6;5;8;5;Scorpion
2020-01-14;8;5;4;3;0;3;Bélier
2020-01-13;0;0;1;3;3;5;Cancer
2020-01-12;1;2;5;8;9;8;Bélier
2020-01-11;4;0;1;2;1;8;Verseau
2020-01-10;2;3;2;0;5;6;Balance
2020-01-09;7;2;7;2;8;4;Poissons
2020-01-08;6;4;3;3;6;6;Verseau
2020-01-07;2;5;9;6;9;1;Balance
2020-01-06;1;5;6;5;2;5;Capricorne
2020-01-05;6;6;7;4;1;9;Balance
2020-01-04;6;2;1;2;6;6;Bélier
2020-01-03;3;1;0;2;5;9;Gémeaux
2020-01-02;2;8;1;5;8;2;Capricorne
2020-01-01;9;1;1;6;3;5;Cancer
